pkuid,vertex_index,xcoord,ycoord,code,name
0,132,15.579,46.561,PB,Pannonian Basin
0,133,15.588,46.589,PB,Pannonian Basin
0,134,15.459,46.659,PB,Pannonian Basin
0,135,15.341,46.665,PB,Pannonian Basin
0,136,15.208,46.636,PB,Pannonian Basin
0,137,15.211,46.75,PB,Pannonian Basin
0,138,15.157,46.803,PB,Pannonian Basin
0,139,15.182,46.862,PB,Pannonian Basin
0,140,15.215,46.881,PB,Pannonian Basin
0,141,15.213,46.983,PB,Pannonian Basin
0,142,15.137,47.041,PB,Pannonian Basin
0,143,15.081,47.05,PB,Pannonian Basin
0,144,15.108,47.084,PB,Pannonian Basin
0,145,15.171,47.075,PB,Pannonian Basin
0,146,15.248,47.092,PB,Pannonian Basin
0,147,15.301,47.1,PB,Pannonian Basin
0,148,15.365,47.128,PB,Pannonian Basin
0,149,15.414,47.134,PB,Pannonian Basin
0,150,15.49,47.139,PB,Pannonian Basin
0,151,15.546,47.198,PB,Pannonian Basin
0,152,15.609,47.242,PB,Pannonian Basin
0,153,15.658,47.236,PB,Pannonian Basin
0,154,15.736,47.275,PB,Pannonian Basin
0,155,15.761,47.25,PB,Pannonian Basin
0,156,15.803,47.218,PB,Pannonian Basin
0,157,15.822,47.26,PB,Pannonian Basin
0,158,15.859,47.33,PB,Pannonian Basin
0,159,15.896,47.313,PB,Pannonian Basin
0,160,15.936,47.29,PB,Pannonian Basin
0,161,16.022,47.384,PB,Pannonian Basin
0,162,16.044,47.46,PB,Pannonian Basin
0,163,16.064,47.514,PB,Pannonian Basin
0,164,16.118,47.537,PB,Pannonian Basin
0,165,16.153,47.489,PB,Pannonian Basin
0,166,16.196,47.448,PB,Pannonian Basin
0,167,16.256,47.435,PB,Pannonian Basin
0,168,16.342,47.46,PB,Pannonian Basin
0,169,16.358,47.545,PB,Pannonian Basin
0,170,16.382,47.65,PB,Pannonian Basin
0,171,16.385,47.674,PB,Pannonian Basin
0,172,16.345,47.741,PB,Pannonian Basin
0,173,16.257,47.726,PB,Pannonian Basin
0,174,16.172,47.685,PB,Pannonian Basin
0,175,16.094,47.686,PB,Pannonian Basin
0,176,16,47.709,PB,Pannonian Basin
0,177,16.055,47.765,PB,Pannonian Basin
0,178,16.146,47.819,PB,Pannonian Basin
0,179,16.104,47.878,PB,Pannonian Basin
0,180,16.132,47.927,PB,Pannonian Basin
0,181,16.165,47.972,PB,Pannonian Basin
0,182,16.185,48.026,PB,Pannonian Basin
0,183,16.29,48.12,PB,Pannonian Basin
0,184,16.294,48.245,PB,Pannonian Basin
0,185,16.332,48.288,PB,Pannonian Basin
0,186,16.425,48.377,PB,Pannonian Basin
0,187,16.48,48.494,PB,Pannonian Basin
0,188,16.473,48.593,PB,Pannonian Basin
0,189,16.506,48.686,PB,Pannonian Basin
0,190,16.655,48.79,PB,Pannonian Basin
0,191,16.771,48.865,PB,Pannonian Basin
0,192,16.949,48.958,PB,Pannonian Basin
0,193,17.105,49.021,PB,Pannonian Basin
0,194,17.159,49.03,PB,Pannonian Basin
0,195,17.335,49.016,PB,Pannonian Basin
0,196,17.388,49.093,PB,Pannonian Basin
0,197,17.47,49.111,PB,Pannonian Basin
0,198,17.473,49.059,PB,Pannonian Basin
0,199,17.414,48.967,PB,Pannonian Basin
0,200,17.277,48.836,PB,Pannonian Basin
0,201,17.363,48.767,PB,Pannonian Basin
0,202,17.485,48.738,PB,Pannonian Basin
0,203,17.509,48.673,PB,Pannonian Basin
0,204,17.484,48.599,PB,Pannonian Basin
0,205,17.311,48.509,PB,Pannonian Basin
0,206,17.164,48.376,PB,Pannonian Basin
0,207,16.976,48.201,PB,Pannonian Basin
0,208,17.022,48.134,PB,Pannonian Basin
0,209,17.118,48.153,PB,Pannonian Basin
0,210,17.22,48.244,PB,Pannonian Basin
0,211,17.352,48.337,PB,Pannonian Basin
0,212,17.505,48.49,PB,Pannonian Basin
0,213,17.631,48.533,PB,Pannonian Basin
0,214,17.679,48.642,PB,Pannonian Basin
0,215,17.849,48.708,PB,Pannonian Basin
0,216,17.903,48.816,PB,Pannonian Basin
0,217,18.006,48.894,PB,Pannonian Basin
0,218,18.05,48.861,PB,Pannonian Basin
0,219,18.083,48.815,PB,Pannonian Basin
0,220,18.152,48.808,PB,Pannonian Basin
0,221,18.254,48.838,PB,Pannonian Basin
0,222,18.297,48.781,PB,Pannonian Basin
0,223,18.341,48.712,PB,Pannonian Basin
0,224,18.444,48.658,PB,Pannonian Basin
0,225,18.367,48.617,PB,Pannonian Basin
0,226,18.266,48.547,PB,Pannonian Basin
0,227,18.166,48.421,PB,Pannonian Basin
0,228,18.109,48.359,PB,Pannonian Basin
0,229,18.238,48.356,PB,Pannonian Basin
0,230,18.336,48.418,PB,Pannonian Basin
0,231,18.403,48.461,PB,Pannonian Basin
0,232,18.484,48.454,PB,Pannonian Basin
0,233,18.485,48.454,PB,Pannonian Basin
0,234,18.472,48.42,PB,Pannonian Basin
0,235,18.471,48.413,PB,Pannonian Basin
0,236,18.472,48.405,PB,Pannonian Basin
0,237,18.474,48.398,PB,Pannonian Basin
0,238,18.481,48.389,PB,Pannonian Basin
0,239,18.487,48.386,PB,Pannonian Basin
0,240,18.497,48.383,PB,Pannonian Basin
0,241,18.55,48.392,PB,Pannonian Basin
0,242,18.563,48.388,PB,Pannonian Basin
0,243,18.566,48.386,PB,Pannonian Basin
0,244,18.592,48.347,PB,Pannonian Basin
0,245,18.59,48.32,PB,Pannonian Basin
0,246,18.591,48.317,PB,Pannonian Basin
0,247,18.597,48.313,PB,Pannonian Basin
0,248,18.606,48.309,PB,Pannonian Basin
0,249,18.615,48.306,PB,Pannonian Basin
0,250,18.667,48.235,PB,Pannonian Basin
0,251,18.662,48.23,PB,Pannonian Basin
0,252,18.658,48.225,PB,Pannonian Basin
0,253,18.653,48.209,PB,Pannonian Basin
0,254,18.653,48.204,PB,Pannonian Basin
0,255,18.656,48.198,PB,Pannonian Basin
0,256,18.661,48.189,PB,Pannonian Basin
0,257,18.669,48.182,PB,Pannonian Basin
0,258,18.677,48.176,PB,Pannonian Basin
0,259,18.719,48.149,PB,Pannonian Basin
0,260,18.73,48.136,PB,Pannonian Basin
0,261,18.742,48.115,PB,Pannonian Basin
0,262,18.75,48.094,PB,Pannonian Basin
0,263,18.748,48.078,PB,Pannonian Basin
0,264,18.741,48.06,PB,Pannonian Basin
0,265,18.722,48.024,PB,Pannonian Basin
0,266,18.698,47.992,PB,Pannonian Basin
0,267,18.689,47.981,PB,Pannonian Basin
0,268,18.686,47.975,PB,Pannonian Basin
0,269,18.676,47.945,PB,Pannonian Basin
0,270,18.642,47.902,PB,Pannonian Basin
0,271,18.603,47.859,PB,Pannonian Basin
0,272,18.694,47.823,PB,Pannonian Basin
0,273,18.751,47.792,PB,Pannonian Basin
0,274,18.757,47.789,PB,Pannonian Basin
