pkuid,vertex_index,xcoord,ycoord,code,name
10,102,26.874,46.23,ADF,Alpine Deformation Front
10,103,26.888,46.312,ADF,Alpine Deformation Front
10,104,26.899,46.356,ADF,Alpine Deformation Front
10,105,26.907,46.391,ADF,Alpine Deformation Front
10,106,26.91,46.47,ADF,Alpine Deformation Front
10,107,26.861,46.55,ADF,Alpine Deformation Front
10,108,26.835,46.565,ADF,Alpine Deformation Front
10,109,26.757,46.628,ADF,Alpine Deformation Front
10,110,26.756,46.63,ADF,Alpine Deformation Front
10,111,26.729,46.711,ADF,Alpine Deformation Front
10,112,26.706,46.79,ADF,Alpine Deformation Front
10,113,26.677,46.847,ADF,Alpine Deformation Front
10,114,26.665,46.87,ADF,Alpine Deformation Front
10,115,26.619,46.951,ADF,Alpine Deformation Front
10,116,26.597,46.985,ADF,Alpine Deformation Front
10,117,26.566,47.03,ADF,Alpine Deformation Front
10,118,26.517,47.091,ADF,Alpine Deformation Front
10,119,26.5,47.11,ADF,Alpine Deformation Front
10,120,26.437,47.168,ADF,Alpine Deformation Front
10,121,26.405,47.19,ADF,Alpine Deformation Front
10,122,26.355,47.22,ADF,Alpine Deformation Front
10,123,26.275,47.261,ADF,Alpine Deformation Front
10,124,26.247,47.275,ADF,Alpine Deformation Front
10,125,26.197,47.301,ADF,Alpine Deformation Front
10,126,26.117,47.346,ADF,Alpine Deformation Front
10,127,26.112,47.35,ADF,Alpine Deformation Front
10,128,26.037,47.409,ADF,Alpine Deformation Front
10,129,26.019,47.43,ADF,Alpine Deformation Front
10,130,25.965,47.514,ADF,Alpine Deformation Front
10,131,25.957,47.526,ADF,Alpine Deformation Front
10,132,25.915,47.594,ADF,Alpine Deformation Front
10,133,25.874,47.663,ADF,Alpine Deformation Front
10,134,25.866,47.675,ADF,Alpine Deformation Front
10,135,25.816,47.752,ADF,Alpine Deformation Front
10,136,25.795,47.781,ADF,Alpine Deformation Front
10,137,25.756,47.83,ADF,Alpine Deformation Front
10,138,25.716,47.873,ADF,Alpine Deformation Front
10,139,25.679,47.91,ADF,Alpine Deformation Front
10,140,25.636,47.95,ADF,Alpine Deformation Front
10,141,25.59,47.991,ADF,Alpine Deformation Front
10,142,25.553,48.021,ADF,Alpine Deformation Front
10,143,25.491,48.071,ADF,Alpine Deformation Front
10,144,25.472,48.086,ADF,Alpine Deformation Front
10,145,25.397,48.135,ADF,Alpine Deformation Front
10,146,25.371,48.15,ADF,Alpine Deformation Front
10,147,25.314,48.18,ADF,Alpine Deformation Front
10,148,25.235,48.221,ADF,Alpine Deformation Front
10,149,25.218,48.23,ADF,Alpine Deformation Front
10,150,25.157,48.268,ADF,Alpine Deformation Front
10,151,25.105,48.31,ADF,Alpine Deformation Front
10,152,25.077,48.342,ADF,Alpine Deformation Front
