net.sta,lon,lat,alt
IV.MABI,10.514,46.055,1853.0
IV.MDI,9.716,45.77,954.0
IV.MRGE,7.061,45.77,1660.0
NL.OPLO,5.812,51.589,0.0
SX.WERD,12.307,50.448,596.0
ZV.CER,14.966,49.374,608.0
ZV.DUN,14.695,49.035,462.0
ZV.GFO,15.491,48.517,570.0
ZV.JAK,15.77,49.08,492.0
ZV.KON,15.988,48.794,265.0
ZV.UNT,14.467,48.368,343.0
ZV.ZVI,14.193,49.439,373.0
7E.BEN,14.31,50.742,222.0
7E.BG03,10.914,50.66,0.0
7E.BG16,11.741,49.847,533.0
7E.BIT,13.641,50.373,220.0
7E.BLA,14.899,49.643,446.0
7E.FRAU,12.322,50.695,0.0
7E.JAK,15.77,49.08,492.0
7E.KON,15.988,48.794,265.0
7E.PA01,10.169,49.106,538.0
7E.PA03,10.903,49.683,409.0
7E.PA07,12.336,50.1,480.0
7E.PA10,13.136,50.49,730.0
7E.PA20,14.545,51.126,380.0
7E.PA64,16.004,51.792,77.0
7E.PA65,16.837,52.077,90.0
7E.PA66,17.472,52.409,115.0
7E.PA67,18.35,52.657,74.0
7E.PA68,19.051,52.961,96.0
7E.PA69,19.842,53.239,142.0
7E.PA70,20.523,53.472,157.0
7E.PA71,21.432,53.742,130.0
7E.PB04,11.424,49.746,394.0
7E.PB09,13.193,50.536,886.0
7E.PB14,13.834,50.78,510.0
7E.PB16,14.104,50.996,205.0
7E.PB19,14.29,51.085,381.0
7E.PB22,14.664,51.194,180.0
7E.PB23,14.784,51.268,160.0
7E.PB23B,14.778,51.254,160.0
7E.PB25,14.965,51.356,160.0
7E.PB41,15.089,51.4,158.0
7E.PB42,15.206,51.468,134.0
7E.PB43,15.709,51.631,152.0
7E.PB44,15.818,51.689,166.0
7E.PB47,17.008,52.144,58.0
7E.PB50,18.128,52.574,96.0
7E.PB53,19.214,53.002,78.0
7E.PB56,20.488,53.378,178.0
7E.PB58,21.155,53.696,150.0
7E.PB59,21.702,53.823,128.0
7E.PB60,22.012,53.95,154.0
7E.PC21,12.678,49.67,742.0
7E.PC23,13.169,49.977,520.0
7E.PC26,12.84,50.086,525.0
7E.PC32,15.196,50.792,690.0
7E.PD41,15.637,51.074,270.0
7E.PD42,16.375,51.38,104.0
7E.PD43,17.228,51.655,99.0
7E.PD44,18.036,51.971,105.0
7E.PD45,18.809,52.363,113.0
7E.PD46,19.607,52.579,101.0
7E.PD47,20.366,52.876,112.0
7E.PD48,21.091,53.165,106.0
7E.PD49,21.79,53.362,102.0
7E.PD50,22.681,53.664,117.0
7E.PF41,17.155,51.213,137.0
7E.PF42,17.969,51.502,188.0
7E.PF43,19.027,51.82,140.0
7E.PF44,20.161,52.358,73.0
7E.PF45,21.228,52.706,100.0
7E.PF46,22.216,53.024,107.0
7E.PG01,12.078,48.42,449.0
7E.PG22,14.899,49.643,446.0
7E.PG23,15.812,50.08,307.0
7E.PG41,17.333,50.751,137.0
7E.PG42,18.064,51.098,180.0
7E.PG43,18.724,51.472,163.0
7E.PG44,19.653,51.61,185.0
7E.PG45,20.595,51.888,197.0
7E.PG46,21.958,52.527,157.0
7E.PG47,22.761,52.802,134.0
7E.PJ41,18.371,50.741,227.0
7E.PJ42,19.317,51.128,232.0
7E.PJ43,20.183,51.502,167.0
7E.PJ44,20.996,51.736,147.0
7E.PJ45,21.911,52.043,156.0
7E.PJ46,22.829,52.382,114.0
7E.PN01,11.382,50.115,370.0
7E.PN09,13.399,51.251,0.0
7E.PN11,14.006,51.25,220.0
7E.PN13,14.46,51.659,0.0
7E.PN41,15.122,51.942,79.0
7E.PN42,15.63,52.141,132.0
7E.PN43,16.436,52.458,89.0
7E.PN44,17.055,52.66,91.0
7E.PN45,17.837,53.015,64.0
7E.PN46,18.393,53.277,77.0
7E.PN47,19.09,53.452,62.0
7E.PN48,19.675,53.709,100.0
7E.PN49,20.486,53.91,131.0
7E.PNS,14.703,48.605,949.0
7E.PP05,12.486,51.585,0.0
7E.PP06,12.856,51.579,0.0
7E.PP08,13.243,51.881,0.0
7E.PP10,14.124,52.208,0.0
7E.PP41,14.876,52.401,67.0
7E.PP42,15.785,52.766,25.0
7E.PP43,16.391,53.058,85.0
7E.PP44,17.917,53.608,100.0
7E.PP45,18.519,53.744,90.0
7E.PP46,19.281,53.993,44.0
7E.PP47,20.06,54.288,108.0
7E.PQ01,10.847,51.368,117.0
7E.PQ05,12.769,52.07,0.0
7E.PQ11,14.198,52.662,3.0
7E.PQ46,14.735,52.827,51.0
7E.PQ47,15.541,53.197,78.0
7E.PQ48,16.335,53.605,177.0
7E.PQ49,17.248,53.839,131.0
7E.PQ50,18.191,54.178,200.0
7E.PR03,11.954,51.596,244.0
7E.PR07,13.484,52.155,0.0
7E.PR09,14.018,52.551,0.0
7E.PR41,14.431,52.76,35.0
7E.PR42,15.014,53.017,76.0
7E.PR44,15.946,53.411,90.0
7E.PR45,16.849,53.711,135.0
7E.PR46,17.706,54.019,162.0
7E.ROC,13.771,50.251,440.0
7E.SVO,16.409,49.627,561.0
7E.UST,14.032,50.668,188.0
7E.VLC,13.252,50.175,547.0
7E.WDRB,12.415,50.727,0.0
7E.WEBG,12.77,51.0,0.0
7E.ZVI,14.193,49.439,373.0
BE.MEM,6.01,50.609,244.3
CR.ZAG,15.994,45.829,155.0
GR.ASSE,10.673,52.13,-308.0
GR.DREG,6.233,50.663,390.0
GR.GRA2,11.358,49.654,512.0
GR.GRA3,11.317,49.761,455.0
GR.GRA4,11.435,49.564,503.0
GR.GRB2,11.668,49.27,552.0
GR.GRB3,11.805,49.343,517.0
GR.GRB4,11.559,49.468,507.0
GR.GRB5,11.675,49.111,525.0
GR.GRC2,11.374,48.867,445.0
GR.GRC3,11.584,48.889,438.0
GR.GRC4,11.525,49.086,503.0
